N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
160;0.0850309979296842;0.000119124054657558;0;1324;0;0
31;0.093920582245192;0.000162036203922074;0,0045;1324;0.003;0.006
1;0.0800884209780723;0;0,451;1324;0.424;0.478
2;0.0909624837476167;1.68078976351895e-05;0,5055;1324;0.478;0.533
16;0.0778678613301241;0.000118240497122634;0,548;1324;0.533;0.563
2;0.0627376544641101;8.23978139557977e-06;2,1895;1324;2.088;2.291
134;10.5488091360616;0.0897712490982858;0;1325;0;0
24;10.5101579465828;0.107111952689172;0,0045;1325;0.003;0.006
2;10.575477380253;0.000226502894566463;0,5055;1325;0.478;0.533
13;10.3149305469516;0.182037055223106;0,548;1325;0.533;0.563
2;9.73678341060173;0.518442754467546;2,1895;1325;2.088;2.291
134;0.255814042911601;0.00135652276973045;0;1326;0;0
24;0.254748565705299;0.00161473065062293;0,0045;1326;0.003;0.006
2;0.260653808104337;3.1907042135625e-07;0,5055;1326;0.478;0.533
13;0.234669602596452;0.00227531612113441;0,548;1326;0.533;0.563
2;0.16812947158662;0.00283044719520211;2,1895;1326;2.088;2.291
134;0.211870281005701;0.00116148133872524;0;1327;0;0
24;0.205628061873723;0.00131939919735227;0,0045;1327;0.003;0.006
2;0.208183264664407;1.16994762088004e-06;0,5055;1327;0.478;0.533
13;0.190086037274268;0.00112768608246593;0,548;1327;0.533;0.563
2;0.139144711129833;0.00312511279525606;2,1895;1327;2.088;2.291
141;7.28832302315321;0.0659410969886386;0;1328;0;0
30;7.35578523049608;0.0447132659058332;0,0045;1328;0.003;0.006
1;7.83421473736501;0;0,451;1328;0.424;0.478
2;7.26235279637569;0.000430462063152076;0,5055;1328;0.478;0.533
14;7.32779269913171;0.0594869022196232;0,548;1328;0.533;0.563
2;7.22330839534618;0.00135949433144176;2,1895;1328;2.088;2.291
141;0.0480554291088709;6.19472428980934e-05;0;1329;0;0
30;0.0497263124854286;3.17818338304262e-05;0,0045;1329;0.003;0.006
1;0.0636548656929571;0;0,451;1329;0.424;0.478
2;0.0454624848156757;1.20216511870255e-06;0,5055;1329;0.478;0.533
14;0.0494547877232317;8.40119157227157e-05;0,548;1329;0.533;0.563
2;0.044687189672294;1.77506215182904e-05;2,1895;1329;2.088;2.291
141;0.0399155202764428;4.44108435884748e-05;0;1330;0;0
30;0.0406720334699574;1.80663790148432e-05;0,0045;1330;0.003;0.006
1;0.0545447325872213;0;0,451;1330;0.424;0.478
2;0.0397388164938586;7.75571153266408e-06;0,5055;1330;0.478;0.533
14;0.0416043328030753;5.89339989747642e-05;0,548;1330;0.533;0.563
2;0.0382323733862958;4.93072819952513e-07;2,1895;1330;2.088;2.291
160;11.5429326589665;0.0266598486335419;0;1331;0;0
31;11.6948783795303;0.0211722774286758;0,0045;1331;0.003;0.006
1;11.9152907591907;0;0,451;1331;0.424;0.478
2;11.4879604833373;0.00175920076396062;0,5055;1331;0.478;0.533
16;11.6039573708198;0.0226292238587909;0,548;1331;0.533;0.563
2;11.4847487882961;0.00855419052972001;2,1895;1331;2.088;2.291
160;0.430668743781955;0.00156353661908434;0;1332;0;0
31;0.469063939861933;0.00148562280487156;0,0045;1332;0.003;0.006
1;0.503189832860823;0;0,451;1332;0.424;0.478
2;0.42243506650347;3.42866785249396e-05;0,5055;1332;0.478;0.533
